date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2027-12-03,289.27457,120.0,0.3192,92.21,192.4464,63.9157,34.6223,2729.2042,1804.9572,9.4454,98.0314,148.27,13.786,100.0,5628.0,74.71,122.2495,7.1109
2027-12-10,284.88704,118.1799,0.3247,97.4682,195.1636,69.1145,31.8455,2602.9152,1841.6945,9.8154,98.2562,148.27,13.786,100.0,5628.0,74.71,129.7529,7.1272
2027-12-17,287.56845,119.2923,0.2927,101.2264,199.2461,73.6094,34.7447,2710.3705,1894.3747,9.5536,98.3675,148.27,13.786,100.0,5628.0,74.71,136.2403,7.1353
2027-12-24,285.77087,118.5466,0.2466,103.2125,202.5304,72.6355,34.7657,2776.3007,1776.2983,9.59,98.4379,148.27,13.786,100.0,5628.0,74.71,134.8347,7.1404
2027-12-31,285.48043,118.4261,0.2497,101.8001,204.3545,73.714,39.096,2769.3118,1798.0839,10.5732,98.5775,148.27,13.786,100.0,5628.0,74.71,136.3913,7.1505
2028-01-07,279.78125,116.0619,0.1856,100.1529,205.8212,66.2416,42.0118,2731.5805,1808.2529,11.2145,98.2062,148.27,13.786,100.0,5628.0,74.71,125.6064,7.1236
2028-01-14,279.07643,115.7695,0.1696,97.6689,222.2162,60.8128,35.6982,2767.385,1769.5599,9.5149,98.7194,148.27,13.786,100.0,5628.0,74.71,117.7711,7.1608
2028-01-21,276.95352,114.8889,0.1513,96.7058,212.0838,60.4032,37.4269,2670.9789,1901.5976,10.9913,98.5761,148.27,13.786,100.0,5628.0,74.71,117.1799,7.1504
2028-01-28,278.73877,115.6294,0.1941,91.3501,224.9347,60.1114,40.6737,2698.2975,1939.7543,12.0444,98.9029,148.27,13.786,100.0,5628.0,74.71,116.7588,7.1742
2028-02-04,276.9901,114.904,0.194,96.7428,229.489,56.5619,40.5349,2728.4295,1877.3584,9.68,98.6801,148.27,13.786,100.0,5628.0,74.71,111.6357,7.158
2028-02-11,273.71348,113.5448,0.2072,100.5568,223.4778,55.0914,35.2413,2693.3138,1690.5046,7.5026,99.2326,148.27,13.786,100.0,5628.0,74.71,109.5133,7.1981
2028-02-18,273.25288,113.3537,0.2079,100.4679,218.3482,54.2417,34.2109,2888.6574,1688.993,8.1624,100.5329,148.27,13.786,100.0,5628.0,74.71,108.287,7.2924
2028-02-25,269.21281,111.6778,0.194,99.26,217.5903,53.6717,32.4105,2905.6383,1613.1895,9.5682,100.9945,148.27,13.786,100.0,5628.0,74.71,107.4643,7.3259
2028-03-03,271.88674,112.787,0.2229,100.5387,210.6346,59.7343,33.2905,2939.5577,1661.6138,8.716,101.8027,148.27,13.786,100.0,5628.0,74.71,116.2144,7.3845
2028-03-10,272.40844,113.0034,0.2554,99.6523,222.2481,61.1675,39.1518,2908.631,1676.5165,7.383,101.415,148.27,13.786,100.0,5628.0,74.71,118.283,7.3564
2028-03-17,274.73916,113.9703,0.2488,114.1421,221.3813,57.8879,41.4116,2815.2579,1718.0949,6.8095,101.5752,148.27,13.786,100.0,5628.0,74.71,113.5495,7.368
2028-03-24,269.0121,111.5945,0.2287,119.1375,229.4003,51.8528,38.7397,2690.702,1873.7403,6.6944,102.9047,148.27,13.786,100.0,5628.0,74.71,104.8392,7.4644
2028-03-31,273.44169,113.432,0.2182,123.6002,231.0869,53.5109,35.3051,2800.9974,1937.9642,7.1404,102.3957,148.27,13.786,100.0,5628.0,74.71,107.2323,7.4275
2028-04-07,274.84854,114.0156,0.2145,114.635,230.6183,53.0182,38.2082,2625.201,1957.9197,5.9291,102.6374,148.27,13.786,100.0,5628.0,74.71,106.5212,7.445
2028-04-14,275.51449,114.2919,0.2506,118.9644,219.2159,56.603,36.2591,2509.4406,1935.0854,4.2329,102.8308,148.27,13.786,100.0,5628.0,74.71,111.6951,7.4591
2028-04-21,275.09292,114.117,0.2866,122.5658,207.1399,53.8689,37.694,2572.3405,2040.367,5.1454,102.7669,148.27,13.786,100.0,5628.0,74.71,107.749,7.4544
2028-04-28,275.83963,114.4268,0.2948,120.8955,210.3722,52.8392,36.1902,2576.2831,1980.6454,5.0378,101.9982,148.27,13.786,100.0,5628.0,74.71,106.2628,7.3987
2028-05-05,272.93053,113.22,0.2575,126.0861,213.3658,56.0475,29.1962,2737.8715,1968.8186,6.0201,101.2315,148.27,13.786,100.0,5628.0,74.71,110.8934,7.3431
2028-05-12,275.34482,114.2215,0.2633,127.7079,207.7903,59.7148,28.8476,2782.0958,1892.2804,5.9898,102.722,148.27,13.786,100.0,5628.0,74.71,116.1864,7.4512
2028-05-19,273.27036,113.361,0.2684,125.1295,208.3661,60.416,29.8298,2696.6609,1947.9282,5.0268,103.9521,148.27,13.786,100.0,5628.0,74.71,117.1983,7.5404
2028-05-26,273.35717,113.397,0.2814,131.0308,206.2393,61.6438,33.1866,2741.5643,1978.2348,3.8336,103.2502,148.27,13.786,100.0,5628.0,74.71,118.9705,7.4895
